note_id,date,business_unit,author_role,note
N01,2024-03-05,Group,HR Director,"Annual employee engagement survey closed with 78% participation; results workshop scheduled for April."
N02,2024-05-20,Corporate Events,Practice Lead,"Spring client campaign shortlisted for the European Agency Awards; ceremony in Berlin in September."
N03,2024-06-12,Group,CEO,"Mid-year town hall held; order book for H2 in line with plan, no changes to guidance."
N04,2024-07-15,Government & Institutions,Facilities Lead,"Ergonomics refresh completed on floors 2-3; standing desks installed from existing facilities stock, no incremental spend."
N05,2024-09-02,Digital/Influence,Head of Digital,"Two senior developers joined the platform team this month, both within the approved headcount plan."
N06,2024-11-08,Government & Institutions,AV & Systems Manager,"On-site registration and AV control systems failed during a ministry summit engagement on 4 November; emergency replacement hardware and expedited vendor licenses procured outside the normal purchasing cycle. One-off cost; insurance claim filed with the provider."
N07,2024-12-10,Group,CFO,"Board approved the 2025 budget as submitted; BU envelopes unchanged from the October draft."
N09,2025-02-11,Brand Events,Operations Manager,"Warehouse equipment servicing renewed for 2025 at unchanged rates."
N10,2025-03-18,Group,HR Director,"Summer internship programme confirmed: 12 interns across BUs, stipends absorbed within existing payroll budgets."
N11,2025-04-14,Brand Events,Project Director,"Falcon product-launch event (Riyadh): client requested a major on-site scope expansion during build week. Overtime crews, additional staging and expedited freight all booked at premium rates. Expect a production cost overrun through the end of Q2 while the change-order negotiation with the client is still open."
N12,2025-06-25,Corporate Events,Practice Lead,"Media buying and content creation move in-house from 1 July; both external agency retainers terminated end of June. Marketing spend expected to run 20-30% under budget for the rest of the year."
N13,2025-06-30,Brand Events,BU Controller,"Q2 close: Falcon launch cost overrun confirmed at roughly EUR2.0m above plan across April-June, concentrated in external production costs. Change order signed for partial recovery only; margin impact flagged to group controlling."
N14,2025-07-22,Government & Institutions,AV & Systems Manager,"On-site registration platform upgraded to the new major version over a client-approved maintenance window; no change to license costs."
N15,2025-08-05,Digital/Influence,Head of Digital,"Internal hackathon held; two prototypes selected for the internal innovation roadmap."
N16,2025-09-15,Corporate Events,BU Controller,"In-housing of media buying is tracking ahead of plan - marketing spend well under budget again this month, and the underspend should persist through year-end."
N08,2025-09-26,Digital/Influence,Account Manager,"NovaTech (US client) roadshow is invoiced in USD. The euro strengthened sharply against the dollar this month, so reported revenue on the contract translates materially lower in EUR. No change in delivered scope or client commitment; delivery costs are EUR-denominated and unaffected."
N17,2025-10-14,Group,CFO,"FY2026 budget process kicked off; BU submissions due mid-November."
N18,2025-12-01,Corporate Events,HR Business Partner,"Team member starting parental leave in January; temporary cover arranged within the existing team."
N19,2026-01-19,Group,Facilities Manager,"Preliminary discussions started with the landlord on the HQ lease renewal due in 2027."
N20,2026-03-09,Brand Events,HR Business Partner,"Annual safety certifications for permanent technical staff completed ahead of the summer season."
N21,2026-05-04,Digital/Influence,Head of Digital,"Pilot of an AI-assisted video editing toolkit started; covered by the existing software subscription budget."
